frame	timestamp	seconds	file
055	00:25:45.908	1545.908	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_055.jpg
056	00:26:14.016	1574.016	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_056.jpg
057	00:26:42.123	1602.123	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_057.jpg
058	00:27:10.231	1630.231	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_058.jpg
059	00:27:38.338	1658.338	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_059.jpg
060	00:28:06.446	1686.446	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_060.jpg
061	00:28:34.553	1714.553	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_061.jpg
062	00:29:02.660	1742.660	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_062.jpg
063	00:29:30.768	1770.768	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_063.jpg
064	00:29:58.875	1798.875	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_064.jpg
065	00:30:26.983	1826.983	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_065.jpg
066	00:30:55.090	1855.090	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_066.jpg
067	00:31:23.198	1883.198	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_067.jpg
068	00:31:51.305	1911.305	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_068.jpg
069	00:32:19.412	1939.412	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_069.jpg
070	00:32:47.520	1967.520	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_070.jpg
071	00:33:15.627	1995.627	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_071.jpg
072	00:33:43.735	2023.735	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_072.jpg
073	00:34:11.842	2051.842	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_073.jpg
074	00:34:39.950	2079.950	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_074.jpg
075	00:35:08.057	2108.057	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_075.jpg
076	00:35:36.164	2136.164	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_076.jpg
077	00:36:04.272	2164.272	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_077.jpg
078	00:36:32.379	2192.379	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_078.jpg
079	00:37:00.487	2220.487	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_079.jpg
080	00:37:28.594	2248.594	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_080.jpg
081	00:37:56.701	2276.701	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_081.jpg
082	00:38:24.809	2304.809	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_082.jpg
083	00:38:52.916	2332.916	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_083.jpg
084	00:39:21.024	2361.024	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_084.jpg
085	00:39:49.131	2389.131	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_085.jpg
086	00:40:17.239	2417.239	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_086.jpg
087	00:40:45.346	2445.346	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_087.jpg
088	00:41:13.453	2473.453	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_088.jpg
089	00:41:41.561	2501.561	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_089.jpg
090	00:42:09.668	2529.668	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_090.jpg
091	00:42:37.776	2557.776	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_091.jpg
092	00:43:05.883	2585.883	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_092.jpg
093	00:43:33.991	2613.991	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_093.jpg
094	00:44:02.098	2642.098	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_094.jpg
095	00:44:30.205	2670.205	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_095.jpg
096	00:44:58.313	2698.313	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_096.jpg
097	00:45:26.420	2726.420	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_097.jpg
098	00:45:54.528	2754.528	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_098.jpg
099	00:46:22.635	2782.635	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_099.jpg
100	00:46:50.743	2810.743	/home/triangletechguy/rtc-enterprise/mobile/sdk_reference/frames_100/frame_100.jpg
